index,z_index,z_title,z_main_author,z_abstract,z_venue,z_year
35,142127,Graph-based methods for the analysis of large-scale multiagent systems,Wilbur Peng,"Multiagent systems are often characterized by complex, and sometimes unpredictable interactions amongst their autonomous components. While these systems can provide robust and scalable solutions to a variety of problems, the inherent complexity presents a barrier to their analysis, understanding, debugging and modification. In the work presented here, we seek to overcome this problem by modeling the execution of a multiagent system as a graph, which admits the application of techniques from the well-established field of algorithmic graph theory. In particular, we employ graph search and isomorphism computation to find repeating patterns of communication within a multiagent simulation. We argue, and demonstrate empirically, that the graph, even if it is too large to fit into main memory, carries useful properties, which allow these operations to be performed efficiently. We further show that the resulting patterns (which tend to be manageable in size) present a useful view of a simulation, and facilitate the comparison of different simulations against one another. This is specifically illustrated by applying a tool called IntelliTrace, which implements our approach, to multiagent models of the national airspace. At the same time, the tool, and its underlying methodology, is domain-independent, and can be used for the analysis, development and testing of a variety of multiagent systems.",Proceedings of The 8th International Conference on Autonomous Agents and Multiagent Systems - Volume 1,2009
35,30170,Empirical Analysis for Agent System Comprehension and Verification,Tibor Bosse,"Comprehending and verifying agent system behavior is an arduous task when dealing with complex multi-agent systems whose behaviors are sophisticated. This paper presents an approach resulting from collaboration between the Tracer Tool and the TTL Checker, which together automate the analysis and verification of an implemented system's behavior, with the aim of aiding the user in redesigning, debugging, and maintaining the agent system. The Tracer Tool ensures that the user's comprehension of the system behavior is accurate and provides explanations of anomalous behavior, which can be detected as a failed behavioral property by the TTL Checker. The integrated approach has been applied to an agent-based system in an Unmanned Aerial Vehicles domain.",Proceedings of the IEEE/WIC/ACM international conference on Intelligent Agent Technology,2006
35,139509,An interface agent for attention manipulation,Tibor Bosse,"This paper describes the idea of an interface agent that is able to manipulate the visual attention of a human, in order to support naval crew in a tactical picture compilation task. The agent will consist of four submodels, including a model to reason about a subject's attention. In a study (not presented here) a practical case study was formally analysed, and the results were verified using automated checking tools. These results show how a human subject's attention is manipulated by adjusting luminance, based on comparative assessment involving a descriptive and a prescriptive model of the subject's attention.",Proceedings of The 8th International Conference on Autonomous Agents and Multiagent Systems - Volume 2,2009
35,407427,Automated formal analysis of human multi-issue negotiation processes,Tibor Bosse,"This paper reports on experiments in (human) multi-issue negotiation and their analysis, and presents a generic software environment supporting such an analysis. First, the paper presents a System for Analysis of Multi-Issue Negotiation (SAMIN). SAMIN was designed to analyse multi-issue negotiation processes between human negotiators, between human and software agents, and between software agents. The agents conduct one-to-one negotiations, in which the values across multiple issues are negotiated on simultaneously. To analyse such negotiation processes, the user can enter any formal property deemed useful into the system and use the system to automatically check this property in given negotiation traces. The paper presents the results of applying SAMIN in the analysis of empirical traces obtained from an experiment in multi-issue negotiation about second hand cars. In the experiment the efforts of 74 humans negotiating against each other have been analysed using SAMIN.",Multiagent and Grid Systems,2008
35,44284,On the use of organisation modelling techniques to address biological organisation,Tibor Bosse,"This paper explores how the dynamics of complex biological processes can be modelled and simulated as an organisation of multiple agents. This modelling perspective identifies organisational structure occurring in complex decentralised processes and handles complexity of the analysis of the dynamics by structuring these dynamics according to an organisational structure. More specifically, dynamic properties at different levels of aggregation in the organisational structure are identified, and related to each other according to the organisational structure. The applicability of this organisational modelling approach to address complexity in biological context is illustrated by two case studies: the organisation of intracellular processes and the organisation of the circulatory system.",Multiagent and Grid Systems,2007
35,386198,Agent-based simulation of the spatial dynamics of crime: on the interplay between criminal hot spots and reputation,Tibor Bosse,"An important challenge within the field of Criminology is to investigate the spatio-temporal dynamics of crime. Typical questions in this area are how the behaviour of offenders, targets, and guardians, and the emergence and displacement of criminal hot spots can be predicted. This paper presents an agent-based simulation model that can be used as an experimental tool to address such questions. The simulation model particularly focuses on the interplay between hot spots and reputation. Using the model, a number of simulation experiments have been performed, of which results have been analysed using formal techniques. The results indicate that the presented approach is able to adequately reproduce displacement patterns as described in the literature.",Proceedings of the 7th international joint conference on Autonomous agents and multiagent systems - Volume 2,2008
35,57689,Simulation and formal analysis of visual attention,Tibor Bosse,In this paper a simulation model for visual attention is discussed and formally analysed. The model is part of the design of an agent-based system that supports a naval officer in its task to compile a tactical picture of the situation in the field. A case study is described in which the model is used to simulate a human subject's attention. The formal analysis is based on temporal relational specifications for attentional states and for different stages of attentional processes. The model has been automatically verified against these specifications.,Web Intelligence and Agent Systems,2009
35,128638,Modeling the Dynamics of Mood and Depression,Fiemke Both,"Both for developing human-like virtual agents and for developing intelligent systems that make use of knowledge about the emotional state of the user, it is important to model the mood of a person. In this paper, a model for simulating the dynamics of mood is presented, based on psychological theories about a uni-polar clinical depression. The model was analyzed mathematically and by means of simulations, and it was shown that the model exhibits the most important characteristics of the theories. It shows how stress factors under some conditions can lead to a depression, while it will not lead to a depression under other conditions.",Proceeding of the 2008 conference on ECAI 2008: 18th European Conference on Artificial Intelligence,2008
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,53893,ResIn: a combination of results caching and index pruning for high-performance web search engines,Gleb Skobeltsyn,"Results caching is an efficient technique for reducing the query processing load, hence it is commonly used in real search engines. This technique, however, bounds the maximum hit rate due to the large fraction of singleton queries, which is an important limitation. In this paper we propose ResIn - an architecture that uses a combination of results caching and index pruning to overcome this limitation. We argue that results caching is an inexpensive and efficient way to reduce the query processing load and show that it is cheaper to implement compared to a pruned index. At the same time, we show that index pruning performance is fundamentally affected by the changes in the query traffic that the results cache induces. We experiment with real query logs and a large document collection, and show that the combination of both techniques enables efficient reduction of the query processing costs and thus is practical to use in Web search engines.",Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,2008
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,137619,The failure of mobile payment: evidence from quasi-experimentations,Kamel Rouibah,"With the increase use of mobile phone and diffusion into people's everyday life as trusted communication devices, businesses have recently begun exploring their potential as payment devices. While many mobile payments were introduced in different parts of the world, some of them were successful, and others failed to achieve their expected benefits. In this paper we conduct a quasi experiment with 175 potential users in Kuwait in order to shed light on the following two issues: Why do mobile payment services fail? And what do providers need to do to better persuade adopters to use the mobile service?",Proceedings of the 2009 Euro American Conference on Telematics and Information Systems: New Opportunities to increase Digital Citizenship,2009
107,503732,Towards an understanding of the consumer acceptance of mobile wallet,Dong-Hee Shin,"This study seeks to validate a comprehensive model of consumer acceptance in the context of mobile payment. It uses the unified theory of acceptance and use of technology (UTAUT) model with constructs of security, trust, social influence, and self-efficacy. Structural equation modeling is used to construct a predictive model of attitudes toward the mobile wallet. Individuals' responses to questions about attitude and intention to adopt/use a mobile wallet were collected and analyzed with various factors modified from UTAUT. While the model confirms the classical role of technology acceptance factors (i.e., perceived usefulness and ease of use are key antecedents to users' attitude), the results also show that users' attitudes and intentions are influenced by perceived security and trust. In the extended model, the moderating effects of demographics on the relations among the variables were found to be significant. The proposed model brings together extant research on mobile payment and provides an important cluster of antecedents to eventual technology acceptance via constructs of behavioral intention to use and actual system usage.",Computers in Human Behavior,2009
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,338789,Development of a simulation model of colorectal cancer,Stephen Roberts,"Colorectal cancer (CRC) is deadly if not found early. Any protocols developed for screening and surveillance and any policy decisions regarding the availability of CRC resources should consider the nature of the disease and its impact over time on costs and quality-adjusted life years in a population. Simulation models can provide a flexible representation needed for such analysis; however, the development of a credible simulation model of the natural history of CRC is hindered by limited data and incomplete knowledge. To accommodate the extensive modeling and remodeling required to produce a credible model, we created an object-oriented simulation platform driven by a model-independent database within the .NET environment. The object-oriented structure not only encapsulated the needs of a simulation replication but created an extensible framework for specialization of the CRC components. This robust framework allowed development to focus modeling on the CRC events and their event relationships, conveniently facilitating extensive revision during model construction. As a second-generation CRC modeling activity, this model development benefited from prior experience with data sources and modeling difficulties. A graphical user interface makes the model accessible by displaying existing scenarios, showing input variables and their values, and permitting the creation of new scenarios and changes to its input. Output from the simulation is captured in familiar tabbed worksheets and stored in the database. The eventual CRC model was conceptualized through a series of assumptions that conformed to beliefs and data regarding the natural history of CRC. Throughout the development cycle, extensive verification and validation calibrated the model. The result is a simulation model that characterizes the natural history of CRC with sufficient accuracy to provide an effective means of evaluating numerous issues regarding the burden of this disease on individuals and society. Generalizations from this study are offered regarding the use of discrete-event simulation in disease modeling and medical decision making.",ACM Transactions on Modeling and Computer Simulation (TOMACS),2007
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,38428,Inter and intra-document contexts applied in polyrepresentation for best match IR,Mette Skov,"The principle of polyrepresentation offers a theoretical framework for handling multiple contexts in information retrieval (IR). This paper presents an empirical laboratory study of polyrepresentation in restricted mode of the information space with focus on inter and intra-document features. The Cystic Fibrosis test collection indexed in the best match system InQuery constitutes the experimental setting. Overlaps between five functionally and/or cognitively different document representations are identified. Supporting the principle of polyrepresentation, results show that in general overlaps generated by three or four representations of different nature have higher precision than those generated from two representations or the single fields. This result pertains to both structured and unstructured query mode in best match retrieval, however, with the latter query mode demonstrating higher performance. The retrieval overlaps containing search keys from the bibliographic references provide the best retrieval performance and minor MeSH terms the worst. It is concluded that a highly structured query language is necessary when implementing the principle of polyrepresentation in a best match IR system because the principle is inherently Boolean. Finally a re-ranking test shows promising results when search results are re-ranked according to precision obtained in the overlaps whilst re-ranking by citations seems less useful when integrated into polyrepresentative applications.",Information Processing and Management: an International Journal,2008
141,398514,Sound and complete relevance assessment for XML retrieval,Benjamin Piwowarski,"In information retrieval research, comparing retrieval approaches requires test collections consisting of documents, user requests and relevance assessments. Obtaining relevance assessments that are as sound and complete as possible is crucial for the comparison of retrieval approaches. In XML retrieval, the problem of obtaining sound and complete relevance assessments is further complicated by the structural relationships between retrieval results. A major difference between XML retrieval and flat document retrieval is that the relevance of elements (the retrievable units) is not independent of that of related elements. This has major consequences for the gathering of relevance assessments. This article describes investigations into the creation of sound and complete relevance assessments for the evaluation of content-oriented XML retrieval as carried out at INEX, the evaluation campaign for XML retrieval. The campaign, now in its seventh year, has had three substantially different approaches to gather assessments and has finally settled on a highlighting method for marking relevant passages within documents&mdash;even though the objective is to collect assessments at element level. The different methods of gathering assessments at INEX are discussed and contrasted. The highlighting method is shown to be the most reliable of the methods.",ACM Transactions on Information Systems (TOIS),2008
141,54750,A coherent query language for XML,Krishnaprasad Thirunarayan,"Text search engines are inadequate for indexing and searching XML documents because they ignore metadata and aggregation structure implicit in the XML documents. On the other hand, the query languages supported by specialized XML search engines are very complex. In this paper, we present a simple yet flexible query language, and develop its semantics to enable intuitively appealing extraction of relevant fragments of information while simultaneously falling back on retrieval through plain text search if necessary. Our approach combines and generalizes several available techniques to obtain precise and coherent results.",Journal of Intelligent Information Systems,2009
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,499418,Stacking dependency parsers,André F. T. Martins,"We explore a stacked framework for learning to predict dependency structures for natural language sentences. A typical approach in graph-based dependency parsing has been to assume a factorized model, where local features are used but a global function is optimized (McDonald et al., 2005b). Recently Nivre and McDonald (2008) used the output of one dependency parser to provide features for another. We show that this is an example of stacked learning, in which a second predictor is trained to improve the performance of the first. Further, we argue that this technique is a novel way of approximating rich non-local features in the second parser, without sacrificing efficient, model-optimal prediction. Experiments on twelve languages show that stacking transition-based and graph-based parsers improves performance over existing state-of-the-art dependency parsers.",Proceedings of the Conference on Empirical Methods in Natural Language Processing,2008
154,495890,Unsupervised constraint driven learning for transliteration discovery,Ming-Wei Chang,"This paper introduces a novel unsupervised constraint-driven learning algorithm for identifying named-entity (NE) transliterations in bilingual corpora. The proposed method does not require any annotated data or aligned corpora. Instead, it is bootstrapped using a simple resource -- a romanization table. We show that this resource, when used in conjunction with constraints, can efficiently identify transliteration pairs. We evaluate the proposed method on transliterating English NEs to three different languages - Chinese, Russian and Hebrew. Our experiments show that constraint driven learning can significantly outperform existing unsupervised models and achieve competitive results to existing supervised models.",Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics,2009
154,495864,Dynamically reconfigurable hardware-software architecture for partitioning networking functions on the SoC platform,Youngmann Kim,"We present an issue of the dynamically reconfigurable hardware-software architecture which allows for partitioning networking functions on a SoC (System on Chip) platform. We address this issue as a partition problem of implementing network protocol functions into dynamically reconfigurable hardware and software modules. Such a partitioning technique can improve the co-design productivity of hardware and software modules. Practically, the proposed partitioning technique, which is called the ITC (Inter-Task Communication) technique incorporating the RT-IJC^2 (Real-Time Inter-Job Communication Channel), makes it possible to resolve the issue of partitioning networking functions into hardware and software modules on the SoC platform. Additionally, the proposed partitioning technique can support the modularity and reuse of complex network protocol functions, enabling a higher level of abstraction of future network protocol specifications onto the SoC platform. Especially, the RT-IJC^2 allows for more complex data transfers between hardware and software tasks as well as provides real-time data processing simultaneously for given application-specific real-time requirements. We conduct a variety of experiments to illustrate the application and efficiency of the proposed technique after implementing it on a commercial SoC platform based on the Altera's Excalibur including the ARM922T core and up to 1 million gates of programmable logic.",Journal of Systems and Software,2009
154,494621,Evaluating the syntactic transformations in gold standard corpora for statistical sentence compression,Naman K. Gupta,We present a policy-based error analysis approach that demonstrates a limitation to the current commonly adopted paradigm for sentence compression. We demonstrate that these limitations arise from the strong assumption of locality of the decision making process in the search for an acceptable derivation in this paradigm.,"Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics, Companion Volume: Short Papers",2009
154,492667,Optimization in coreference resolution is not needed: a nearly-optimal algorithm with intensional constraints,Manfred Klenner,"We show how global constraints such as transitivity can be treated intensionally in a Zero-One Integer Linear Programming (ILP) framework which is geared to find the optimal and coherent partition of coreference sets given a number of candidate pairs and their weights delivered by a pairwise classifier (used as reliable clustering seed pairs). In order to find out whether ILP optimization, which is NP-complete, actually is the best we can do, we compared the first consistent solution generated by our adaptation of an efficient Zero-One algorithm with the optimal solution. The first consistent solution, which often can be found very fast, is already as good as the optimal solution; optimization is thus not needed.",Proceedings of the 12th Conference of the European Chapter of the Association for Computational Linguistics,2009
154,499066,On the complexity of non-projective data-driven dependency parsing,Ryan McDonald,"In this paper we investigate several non-projective parsing algorithms for dependency parsing, providing novel polynomial time solutions under the assumption that each dependency decision is independent of all the others, called here the edge-factored model. We also investigate algorithms for non-projective parsing that account for nonlocal information, and present several hardness results. This suggests that it is unlikely that exact non-projective dependency parsing is tractable for any model richer than the edge-factored model.",Proceedings of the 10th International Conference on Parsing Technologies,2007
154,132941,Leakage-aware task scheduling for partially dynamically reconfigurable FPGAs,Ping-Hung Yuh,"As technology continues to shrink, reducing leakage power of Field-Programmable Gate Arrays (FPGAs) becomes a critical issue for the practical use of FPGAs. In this article, we address the leakage issue of partially dynamically reconfigurable FPGA architectures with sleep transistors embedded into FPGA fabrics. In particular, we focus on eliminating leakage waste due to the delay between reconfiguration and execution time of a task. For partially dynamically reconfigurable FPGAs, the configuration prefetching technique is commonly used to hide runtime reconfiguration overhead. With prefetching, the configuration of a task is loaded into FPGAs as early as possible. Therefore, there is often a delay between reconfiguration and execution time of a task. In this period of time, the SRAM cells allocated to a task cannot be turned off even though they are not utilized. In this article, we propose a two-stage task scheduling methodology to reduce leakage waste due to the delay between reconfiguration and execution time of a task without sacrificing performance. In the first stage, a performance-driven task scheduler that targets at minimizing the schedule length is invoked to generate an initial placement. In the second stage, a postplacement leakage-aware task scheduling is applied to refine the initial placement such that leakage waste is minimized provided that the schedule length is not increased. To solve the postplacement leakage optimization problem, we propose two algorithms. The first one is an optimal algorithm based on Integer Linear Programming (ILP). The second algorithm is a heuristic approach that iteratively refines the placement to reduce leakage waste. Experimental results on real and synthetic designs show that the efficiency and effectiveness of the proposed postplacement leakage reduction techniques.",ACM Transactions on Design Automation of Electronic Systems (TODAES),2009
154,504134,Dependency parsing by belief propagation,David A. Smith,"We formulate dependency parsing as a graphical model with the novel ingredient of global constraints. We show how to apply loopy belief propagation (BP), a simple and effective tool for approximate learning and inference. As a parsing algorithm, BP is both asymptotically and empirically efficient. Even with second-order features or latent variables, which would make exact parsing considerably slower or NP-hard, BP needs only O(n3) time with a small constant factor. Furthermore, such features significantly improve parse accuracy over exact first-order methods. Incorporating additional features would increase the runtime additively rather than multiplicatively.",Proceedings of the Conference on Empirical Methods in Natural Language Processing,2008
154,494624,Revisiting optimal decoding for machine translation IBM model 4,Sebastian Riedel,This paper revisits optimal decoding for statistical machine translation using IBM Model 4. We show that exact/optimal inference using Integer Linear Programming is more practical than previously suggested when used in conjunction with the Cutting-Plane Algorithm. In our experiments we see that exact inference can provide a gain of up to one BLEU point for sentences of length up to 30 tokens.,"Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics, Companion Volume: Short Papers",2009
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,133779,A cut-off phenomenon in location based random access games with imperfect information,Hazer Inaltekin,"This paper analyzes the behavior of selfish transmitters under imperfect location information. The scenario considered is that of a wireless network consisting of selfish nodes that are randomly distributed over the network domain according to a known probability distribution, and that are interested in communicating with a common sink node using common radio resources. In this scenario, the wireless nodes do not know the exact locations of their competitors but rather have belief distributions about these locations. Firstly, properties of the packet success probability curve as a function of the node-sink separation are obtained for such networks. Secondly, a monotonicity property for the best-response strategies of selfish nodes is identified. That is, for any given strategies of competitors of a node, there exists a critical node-sink separation for this node such that its best-response is to transmit when its distance to the sink node is smaller than this critical threshold, and to back off otherwise. Finally, necessary and sufficient conditions for a given strategy profile to be a Nash equilibrium are provided.",Proceedings of the 4th Annual International Conference on Wireless Internet,2008
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,125850,Automated non-intrusive cargo inspection system using gamma-ray imaging (ROBOSCAN 1M),Cristian Molder,"Non-intrusive inspection of cargo containers has become a key issue in recent years to parry terrorist activities and to easily verify the shipping content at customs in order to avoid contraband. Such systems are mainly based on X- and gamma-ray radiography which offer inside images of the cargos. In this article we present a non-intrusive inspection system based on gamma-ray imaging called ROBOSCAN 1M. The system has a lower radiation field compared to existing X-ray systems, providing a smaller operational area and exclusion safety zone. It requires also less maintenance at a lower cost. It is also able to scan containers, vehicles, rail cars, while automatically detecting radioactive materials.","Proceedings of the 8th WSEAS international conference on Signal processing, robotics and automation",2009
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,65532,Memory subsystem simulation in software TLM/T models,Eric Cheung,"Design of Multiprocessor System-on-a-Chips requires efficient and accurate simulation of every component. Since the memory subsystem accounts for up to 50% of the performance and energy expenditures, it has to be considered in system-level design space exploration. In this paper, we present a novel technique to simulate memory accesses in software TLM/T models. We use a compiler to automatically expose all memory accesses in software and annotate them onto efficient TLM/T models. A reverse address map provides target memory addresses for accurate cache and memory simulation. Simulating at more than 10MHz, our models allow realistic architectural design space explorations on memory subsystems. We demonstrate our approach with a design exploration case study of an industrial-strength MPEG-2 decoder.",Proceedings of the 2009 Asia and South Pacific Design Automation Conference,2009
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,492269,A four-stage algorithm for updating a Burrows-Wheeler transform,M. Salson,"We present a four-stage algorithm that updates the Burrows-Wheeler Transform of a text T, when this text is modified. The Burrows-Wheeler Transform is used by many text compression applications and some self-index data structures. It operates by reordering the letters of a text T to obtain a new text bwt(T) which can be better compressed. Even though recent advances are offering this structure new applications, a major bottleneck still exists: bwt(T) has to be entirely reconstructed from scratch whenever T is modified. We study how standard edit operations (insertion, deletion, substitution of a letter or a factor) that transform a text T into T^' impact bwt(T). Then we present an algorithm that directly converts bwt(T) into bwt(T^'). Based on this algorithm, we also sketch a method for converting the suffix array of T into the suffix array of T^'. We finally show, based on the experiments we conducted, that this algorithm, whose worst-case time complexity is O(|T|log|T|(1+log@s/loglog|T|)), performs really well in practice and replaces advantageously the traditional approach.",Theoretical Computer Science,2009
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,70228,Security from the bottom-up: compliance regulations and the trend toward design-oriented web applications,Matthew M. North,"This paper explores the push toward more ""bottom-up"" design strategies for the creation of web applications, a push which has produced a strengthening of code auditing, training, and education. Part of that push arises from compliance issues, particularly government regulations such as Sarbanes- Oxley and PCI DSS, regulations which require long-term, cost-efficient strategies to maintain. In web application design, this means businesses must place greater emphasis on these bottom-up strategies.",Journal of Computing Sciences in Colleges,2009
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,137047,Formalising dynamic protocols for open agent systems,Alexander Artikis,"Multi-agent systems where the members are developed by parties with competing interests, and where there is no access to a member's internal state, are often classified as 'open'. The specification of open agent systems of this sort is largely seen as a design-time activity. Moreover, there is no support for run-time specification modification. Due to environmental, social, or other conditions, however, it is often required to revise the specification during the system execution. To address this requirement, we present an infrastructure for 'dynamic' specifications, that is, specifications that may be modified at run-time by the agents. The infrastructure consists of well-defined procedures for proposing a modification of the 'rules of the game' as well as decision-making over and enactment of proposed modifications. We employ the action language C+ to formalise dynamic specifications, and the 'Causal Calculator' implementation of C+ to execute the specifications. We illustrate our infrastructure by presenting a dynamic specification of a resource-sharing protocol.",Proceedings of the 12th International Conference on Artificial Intelligence and Law,2009
349,137471,Evaluating dynamic protocols for open agent systems,Michael Apostolou,"We present a software system for evaluating 'dynamic' protocol specifications for open multi-agent systems, that is, specifications that are developed at design-time but may be modified at run-time by the protocol participants.",Proceedings of The 8th International Conference on Autonomous Agents and Multiagent Systems - Volume 2,2009
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
